0	270137464	1000000	0.00370182	162801
1	233293272	0	0	0
2	227557186	0	0	0
3	242172145	0	0	0
4	218119183	0	0	0
5	202310089	0	0	0
6	200636732	0	0	0
7	186314338	0	0	0
8	177546094	0	0	0
9	164406924	0	0	0
10	163567388	0	0	0
11	131750112	0	0	0
12	121023549	0	0	0
13	116444919	0	0	0
14	120700736	0	0	0
15	118491488	0	0	0
0	32750483	32100	0.000980138	7649
1	17236412	11937	0.000692546	1312
2	11364076	11667	0.00102666	1225
3	10849980	13008	0.0011989	1175
4	12366114	81524	0.00659253	5092
5	10173117	81823	0.00804306	3981
6	8758882	85011	0.00970569	3629
7	8029337	83750	0.0104305	4774
8	6946229	71867	0.0103462	7676
9	6259208	61146	0.00976897	7625
10	6079635	64326	0.0105806	10572
11	4042229	46010	0.0113823	12416
12	3374315	46850	0.0138843	14662
13	3527651	48707	0.0138072	19818
14	3900468	59759	0.015321	32053
15	4479310	84185	0.0187942	55670
0	78903958	40180	0.000509227	8016
1	55136111	17654	0.000320189	1399
2	53762266	15629	0.000290706	1455
3	44871022	14665	0.000326826	1387
4	37129988	18500	0.00049825	2130
5	28532459	17543	0.000614844	1778
6	25401120	18284	0.000719811	1721
7	21910781	18990	0.000866697	2707
8	24541683	26269	0.00107038	4687
9	20463430	26646	0.00130213	5264
10	25867293	44740	0.0017296	9461
11	37509108	93832	0.00250158	13333
12	41765518	96144	0.00230199	14982
13	34590279	113225	0.00327332	25886
14	28642474	118330	0.00413128	41615
15	21839541	97989	0.00448677	42202
0	80654464	26654	0.000330471	6140
1	66266262	19885	0.000300077	2049
2	66485996	23040	0.000346539	2246
3	56929216	25618	0.000449997	2193
4	44819170	29105	0.000649387	2251
5	38218468	31867	0.000833812	2029
6	35679831	37817	0.0010599	2231
7	32930376	43910	0.00133342	2900
8	32272882	46757	0.0014488	4028
9	31639918	48557	0.00153468	4588
10	28080933	53771	0.00191486	6799
11	19535820	46554	0.00238301	7105
12	18268266	44358	0.00242815	8360
13	15322887	57063	0.00372404	14825
14	16304302	71614	0.00439234	27736
15	16168774	62852	0.00388725	28229
0	85826435	47022	0.000547873	9386
1	70559856	22334	0.000316526	2192
2	68452857	23741	0.000346823	2283
3	58608609	24773	0.000422685	2200
4	47893153	24606	0.000513769	1912
5	40313898	23593	0.000585232	1670
6	37117887	25105	0.000676359	1646
7	34061414	26862	0.000788634	2080
8	36654284	31393	0.000856462	2908
9	34302140	32186	0.000938309	3497
10	35538233	38752	0.00109043	5440
11	30851957	44213	0.00143307	5820
12	30457241	45326	0.00148818	6740
13	24641633	54726	0.00222088	11679
14	24733489	73431	0.00296889	24270
15	21851971	61670	0.00282217	23525
0	88521610	41366	0.000467298	8211
1	72513575	22604	0.000311721	2370
2	70968172	24561	0.000346085	2351
3	61935420	26182	0.000422731	2194
4	48779678	26686	0.000547072	1882
5	39932906	26490	0.000663363	1728
6	38051478	28713	0.000754583	1697
7	34511989	31054	0.000899803	2094
8	35948014	33572	0.000933904	2586
9	33830749	35093	0.00103731	3236
10	31256527	37877	0.00121181	4350
11	20571961	31772	0.00154443	4079
12	18288298	29756	0.00162705	4842
13	15564371	36579	0.00235018	8190
14	17912220	51512	0.0028758	17971
15	16634079	46086	0.00277058	18336
0	89652653	25226	0.000281375	5660
1	72014486	22240	0.000308827	2313
2	70313390	23725	0.000337418	2325
3	59025666	24070	0.000407789	2025
4	47635231	23659	0.00049667	1812
5	40021278	22764	0.000568797	1531
6	36606319	23607	0.000644889	1469
7	33468982	24614	0.000735427	1712
8	34892788	26727	0.000765975	2235
9	32822209	28181	0.000858595	2557
10	31206633	30225	0.000968544	3621
11	22631758	28638	0.00126539	3571
12	20896126	27742	0.00132761	4015
13	17067973	32872	0.00192595	6881
14	18751749	46031	0.00245476	15053
15	17283276	41339	0.00239185	15542
0	81447771	80813	0.000992206	14980
1	69814479	20544	0.000294266	2174
2	70583852	22202	0.000314548	2256
3	59706189	22912	0.000383746	1972
4	46968483	21157	0.000450451	1523
5	38627171	20389	0.000527841	1358
6	35183609	21287	0.000605026	1334
7	31696559	21993	0.000693861	1418
8	32918003	24316	0.000738684	1818
9	31123911	25442	0.000817442	2286
10	28491474	27088	0.000950741	3086
11	18628262	22463	0.00120586	2702
12	15656797	20509	0.00130991	2928
13	13332883	24839	0.00186299	5092
14	14981556	34494	0.00230243	11411
15	14246697	31460	0.00220823	11861
0	82035858	68537	0.000835452	12992
1	69928693	19698	0.000281687	2097
2	69636677	21000	0.000301565	2141
3	57445088	21133	0.000367882	1817
4	45402400	24001	0.000528628	1744
5	38321985	22910	0.000597829	1402
6	34112458	23179	0.000679488	1385
7	30769124	23807	0.00077373	1573
8	32287768	25226	0.000781287	2083
9	29723357	25185	0.000847313	2315
10	27266955	26333	0.000965748	3021
11	17084814	21236	0.00124298	2861
12	14787720	20182	0.00136478	3279
13	12279652	23196	0.00188898	5153
14	13956018	32257	0.00231133	10795
15	13356782	31243	0.00233911	12741
0	81924056	77453	0.000945424	14532
1	67931223	18726	0.000275661	1960
2	65649399	19656	0.000299409	1946
3	57215995	19896	0.000347735	1732
4	44733701	22097	0.000493968	1582
5	37290954	21150	0.000567162	1339
6	33599770	21352	0.000635481	1305
7	29811033	21612	0.000724967	1509
8	31258159	23190	0.000741886	2064
9	28429420	23016	0.000809584	2325
10	26594473	25022	0.000940872	3144
11	18645077	23414	0.00125577	2985
12	16234329	21749	0.00133969	3343
13	13346139	25126	0.00188264	5548
14	14126829	32425	0.00229528	10943
15	13242607	31103	0.00234871	12834
